CodigoPlanta,NombreUnidad,TipoGeneracion,FPO
CGM1,MAYAGUEZ 1,Termica,2010-08-17
LCS1,LA CASCADA (ANTIOQUIA) 1,Hidraulica,1955-01-01
3FCD,AUTOG CELSIA SOLAR PALMIRA 3 1,Solar,2023-04-30
3HWM,PETALO DEL MAGDALENA 1,Solar,2024-04-25
PTC1,PATICO - LA CABRERA 1,Hidraulica,1930-01-01
2SS2,MAGALLO 1,Hidraulica,2016-12-22
PRV1,PROVIDENCIA 1,Hidraulica,2015-09-30
SLV1,SILVIA 1,Hidraulica,1994-01-01
4Y5T,GD SAN MARTIN III 1,Solar,2025-06-15
2U5P,PROENCA II 1,Termica,2017-10-10
INT1,INTERMEDIA 1,Hidraulica,1974-01-01
GYP3,GUAYEPO III 1,Solar,2025-04-30
3B4L,GRANJA SOLAR BELMONTE 1,Solar,2021-04-30
PPA1,PAIPA 1,Termica,1963-01-01
4UZU,GD ERCO GUAMO II 1,Solar,2025-03-30
3RGX,JUMI 1,Solar,2025-01-17
3GVK,CELSIA SOLAR DULIMA 1,Solar,2023-03-27
3IQA,SUNNORTE 1,Solar,2024-11-26
PORO,PARQUE SOLAR PUERTA DE ORO 1,Solar,2025-05-31
4YLA,GD ALEJANDRIA I 1,Solar,2025-08-22
4WUM,AUTOG QBCO 1,Solar,2025-03-31
3H2U,TZ II 2,Hidraulica,2024-04-30
TYP2,TERMOYOPAL 2,Termica,2004-07-29
4XQC,AUTOG GOLOSINAS TRULULU 1,Hidraulica,2025-01-31
2S9L,EL COCUYO 1,Hidraulica,2016-05-20
3QQ3,GD FINCA ISABEL LOPEZ 1,Solar,2024-11-10
3EBN,GR PARQUE SOLAR TUCANES 1,Solar,2022-05-31
OVJ1,OVEJAS 1,Hidraulica,1939-01-01
MNT1,MANANTIALES 1,Hidraulica,2014-07-24
3JBP,LA NENERA 1,Solar,2024-01-13
3J85,NUMBANA 1,Solar,2024-09-20
3J4T,PARQUE SOLAR VERSALLES 1,Solar,2024-03-11
3IS2,PARQUE SOLAR ARENAL 1,Solar,2023-12-30
4SNT,PCH JULIO BRAVO 1,Hidraulica,2025-02-01
3RKN,ECOPARQUE BRISAS 1,Solar,2024-12-04
3AL6,AGPE ENTREPALMAS,Termica,2020-12-31
3RKP,AUTOG ENKA 1,Termica,2024-12-15
3IJF,AUTOG COSTAYACO 1,Termica,2023-09-04
5ISY,GD BLANCA ENERGY III 1,Solar,2026-02-08
